sort_num|address|city|state|zip|borough_detail|address_remark|date_t|deliver_type|remark|iron_box|plastic_box|selling_box|paper_shelf|mon|tue|wed|thu|fri|sat|sun|latitude|longitude|created_at|
|6911 16th Ave|Brooklyn|NY|11204|Brooklyn|訂報戶到期日期：01-01-15|2015-01-02 00:00:00 -0500|Subscriber||||||1|1|1|1|1|1|0|40.619298|-73.99729599999999|2014-08-17 21:49:12 -0400|
|6505 17th Ave|Brooklyn|NY|11204|Brooklyn|訂報戶到期日期：01-01-15|2015-01-02 00:00:00 -0500|Subscriber||||||1|1|1|1|1|1|0|40.62016|-73.992419|2014-08-17 21:49:12 -0400|
|1954 65th Ave|Brooklyn|NY|11204|Brooklyn|訂報戶到期日期：01-01-15|2015-01-02 00:00:00 -0500|Subscriber||||||1|1|1|1|1|1|0|40.616831|-73.9869329|2014-08-17 21:49:13 -0400|
|6506 Bay Pkwy|Brooklyn|NY|11204|Brooklyn|亚裔社区老人活动中心||Building||||||10|10|10|10|15|0|0|40.613771|-73.981853|2014-08-17 21:49:13 -0400|
|6617 Bay Pkway|Brooklyn|NY|11204|Brooklyn|在Bay Pkway上，W7 和 W8之间,N车地铁站旁||Newspaper box||1||||50|50|50|50|80|65|0|40.611769|-73.981849|2014-08-17 21:49:13 -0400|
|276 Kings Hwy|Brooklyn|NY|11223|Brooklyn|Kings Hwy & W 7th St & W 8th St,N车地铁站口||Newspaper box|新报箱12／01／2013／共4个||1|||50|50|50|50|80|65|0|40.60496699999999|-73.980418|2014-08-17 21:49:13 -0400|
|6802 Bay Pkway|Brooklyn|NY|11204|Brooklyn|美心饼屋||Bakery||||||50|50|50|50|80|65|0|40.6122253|-73.9835744|2014-08-17 21:49:14 -0400|
|1979  79th St|Brooklyn|NY|11214|Brooklyn|1979 19 Ave& 79 st,大卿家||Hand delivery||||||50|50|50|50|100|200|0|40.608853|-73.994168|2014-08-17 21:49:14 -0400|
|7812 17th Ave|Brooklyn|NY|11214|Brooklyn|17th Ave &  New Utrecht Ave &79th St,在 D 车地铁站前,Mini Market前.||Newspaper box|新粉刷的02／01／2014|1||||50|50|50|50|80|65|0|40.6128861|-74.0005827|2014-08-17 21:49:14 -0400|
|1772 86th St|Brooklyn|NY|11214|Brooklyn|东海岸餐厅门口,86th St & 18th St||Newspaper box|||1|||50|50|50|50|70|65|0|40.6072918|-74.0030712|2014-08-17 21:49:15 -0400|
|8681 18th Ave|Brooklyn|NY|11214|Brooklyn|亞裔社區老人中心||Building||||||15|15|15|15|15|0|0|40.6057167|-74.00424459999999|2014-08-17 21:49:15 -0400|
|1962 86th St|Brooklyn|NY|11214|Brooklyn|豪园餐馆旁边， 86th St & Bay 23rd St||Newspaper box|||1|||50|50|50|50|70|60|0|40.604761|-73.999101|2014-08-17 21:49:15 -0400|
|2076 86th St|Brooklyn|NY|11214|Brooklyn|21St Ave 和 Bay 26 St 之间，停车场一侧||Newspaper box|||1|||50|50|50|50|60|65|0|40.603234|-73.9964619|2014-08-17 21:49:15 -0400|
|2202 86th St|Brooklyn|NY|11214|Brooklyn|Bay Pkway & 86th St,Mini Market一侧地铁口||Newspaper box|||1|||90|90|90|90|60|65|0|40.601536|-73.993848|2014-08-17 21:49:16 -0400|
|2202 86th St|Brooklyn|NY|11214|Brooklyn|Bay Pkway & 86th St,Mini Market一侧地铁口||Coin box||||1||10|10|10|10|10|10|0|40.601536|-73.993848|2014-08-17 21:49:16 -0400|
|2205 86th St|Brooklyn|NY|11214|Brooklyn|Bay Pkway & 86th St,富记大饭店旁边。||Newspaper box|||1|||50|50|50|50|70|65|0|40.601954|-73.9932539|2014-08-17 21:49:17 -0400|
|2301 86th St|Brooklyn|NY|11214|Brooklyn|HSBC bank ,86th St & 23rd Ave||Newspaper box|||1|||50|50|50|50|70|65|0|40.600576|-73.99156119999999|2014-08-17 21:49:18 -0400|
|2502 86th St|Brooklyn|NY|11214|Brooklyn|25 Ave和 Bay 40th St之间，新兴超市门前，地铁站旁||Newspaper box|新粉刷的01／08／2014|1||||50|50|50|50|70|50|0|40.597474|-73.98704699999999|2014-08-17 21:49:18 -0400|
|2502 86th  St|Brooklyn|NY|11214|Brooklyn|新兴超市里面||Supermarket||||||0|0|0|0|0|0|0|40.597474|-73.98704699999999|2014-08-17 21:49:18 -0400|
|239        Ave  U|Brooklyn|NY|11223|Brooklyn|在W 7和W 8 St之间,N车地铁站旁||Newspaper box|||1|||60|60|60|60|70|65|0|40.5967551|-73.975425|2014-08-17 21:49:18 -0400|
|2565    Hubbard  St|Brooklyn|NY|11235|Brooklyn|Hubbard  st        阿欢家||Hand delivery|05／02／2014   开始送报|||||0|0|0|0|100|200|0|40.587556|-73.96286839999999|2014-08-17 21:49:19 -0400|
|1302 Ave U|Brooklyn|NY|11223|Brooklyn|Ave U & 13th st||Newspaper box|2/23/2014||1|||50|50|50|50|50|50|0|40.5984229|-73.95806|2014-08-17 21:49:24 -0400|
|1402 Ave U|Brooklyn|NY|11229|Brooklyn|Ave U & E 14th St||Newspaper box|||1|||50|50|50|50|70|65|0|40.598642|-73.9571711|2014-08-17 21:49:24 -0400|
|1502 Ave U|Brooklyn|NY|11229|Brooklyn|Ave U & E 15th St，Q Train Station,||Newspaper box|||1|||50|50|50|50|70|65|0|40.598604|-73.95617899999999|2014-08-17 21:49:25 -0400|
|1702 Ave U|Brooklyn|NY|11229|Brooklyn|E 17 St & E 18 St，HSBC汇丰银行旁||Newspaper box|||1|||50|50|50|50|70|65|0|40.598816|-73.9542|2014-08-17 21:49:25 -0400|
|1924 Ave U|Brooklyn|NY|11229|Brooklyn|金沙大餅屋||Bakery|已经安放报架1个12/20/13||||1|50|50|50|50|70|65|0|40.5990999|-73.9517668|2014-08-17 21:49:26 -0400|
|1600 Sheepshead Bay Rd|Brooklyn|NY|11235|Brooklyn|Sheepshead Bay Rd & E 16th St||Newspaper box|||1|||50|50|50|50|70|65|0|40.58694|-73.95335000000001|2014-08-17 21:49:26 -0400|
|1797 South Ave|Staten Island|NY|10314|Staten Island|Staten  Island     美东超市，放在超市报架上||Supermarket||||||0|0|0|0|0|100|0|40.6008149|-74.193952|2014-08-17 21:49:26 -0400|
|5602 31st Ave|Woodside|NY|11377|Queens|在56th St环球超市停车场的入口处。||Newspaper box|發報人員放報||1|||0|0|0|0|0|0|0|40.75681|-73.905135|2014-08-17 21:49:27 -0400|
|6027 Roosevelt Ave|Woodside|NY|11377|Queens|61St St & Roosevelt Ave，7号地铁口||Newspaper box|||1|||50|50|50|50|50|50|0|40.7472564|-73.8858533|2014-08-17 21:49:27 -0400|
|7523 Broadway|Elmhurst|NY|11373|Queens|76th St 和 Broadway交叉口||Newspaper box|||1|||50|50|50|50|50|50|0|40.746096|-73.88951399999999|2014-08-17 21:49:27 -0400|
|8262 Broadway|Elmhurst|NY|11373|Queens|asia bank旁边地铁口,在45th Ave上||Newspaper box|發報人員放報||1||1|400|400|400|400|450|400|0|40.7416646|-73.88120239999999|2014-08-17 21:49:28 -0400|
|8262 Broadway|Elmhurst|NY|11373|Queens|asia bank旁边地铁口,在45th Ave上||Coin box|發報人員放報|||1||0|0|0|0|0|0|0|40.7416646|-73.88120239999999|2014-08-17 21:49:28 -0400|
|8251 51st Ave|Elmhurst|NY|11373|Queens|Marian家||Hand delivery||||||450|450|450|450|550|440|0|40.739329|-73.87489380000001|2014-08-17 21:49:28 -0400|
|8201 Britton Ave|Elmhurst|NY|11373|Queens|錦昌超市旁||Newspaper box|發報人員放報||1|||0|0|0|0|0|0|0|40.7428202|-73.8826266|2014-08-17 21:49:31 -0400|
|8618 Broadway|Elmhurst|NY|11373|Queens|新金鱗超市前面||Newspaper box|發報人員放報,||1|||0|0|0|0|0|0|0|40.7380565|-73.8775486|2014-08-17 21:49:31 -0400|
|8601 Justice Ave|Elmhurst|NY|11373|Queens|新金鱗超市對面拐角||Newspaper box|發報人員放報||1|||0|0|0|0|0|0|0|40.7379944|-73.87680619999999|2014-08-17 21:49:31 -0400|
|8702 Grand Ave|Elmhurst|NY|11373|Queens|Grand Ave & Seabury  交叉口||Newspaper box|發報人員放報||1|||0|0|0|0|0|0|0|40.736228|-73.8786384|2014-08-17 21:49:32 -0400|
|9119 Queens Blvd|Elmhurst|NY|11373|Queens|麥當勞門口，報箱位於59th Ave||Newspaper box|||1|||35|35|35|35|40|30|0|40.733713|-73.8697339|2014-08-17 21:49:32 -0400|
|9710 62nd Dr, #1D|Rego Park|NY|11374|Queens|訂報戶到期日期：12-01-14|2014-01-12 00:00:00 -0500|Subscriber||||||1|1|1|1|1|1|0|40.7350464|-73.8582401|2014-08-17 21:49:32 -0400|
|6402 108th St|Forest Hills|NY|11375|Queens|HSBC银行门口||Newspaper box|||1|||40|40|40|40|40|25|0|40.732303|-73.850414|2014-08-17 21:49:32 -0400|
|971 Queens Blvd|Rego Park|NY|11374|Queens|63 DR & Queens Blvd(north)，T-mobile店门口||Newspaper box|||1|||50|50|50|50|65|50|0|40.7299481|-73.8612217|2014-08-17 21:49:33 -0400|
|9560 Queens Blvd|Rego Park|NY|11374|Queens|63 DR & Queens Blvd(south)，SouthweSt 地铁口眼镜店边||Newspaper box|||1|||45|45|45|45|40|40|0|40.7300846|-73.8628758|2014-08-17 21:49:33 -0400|
|9501 63rd Dr|Rego Park|NY|11374|Queens|63rd Dr & Saunders St，Corner (HSBC Bank门口)||Newspaper box||1||||90|90|90|90|100|80|0|40.7294974|-73.8630345|2014-08-17 21:49:33 -0400|
|9664 Queens Blvd|Rego Park|NY|11374|Queens|63th Dr 和 64th  Rd 之间地铁口||Newspaper box|||1|||45|45|45|45|50|50|0|40.7294008|-73.8610051|2014-08-17 21:49:33 -0400|
|10002 Queens Blvd|Forest Hills|NY|11375|Queens|Queens Blvd & 67th  Ave   ，CVS Pharmacy店边||Newspaper box|||1|||90|90|90|90|90|50|0|40.7227131|-73.84795489999999|2014-08-17 21:49:34 -0400|
|6740 YellowStone Blvd|Forest Hills|NY|11375|Queens|ANNA家||Hand delivery||||||0|0|0|0|0|25|0|40.727288|-73.849447|2014-08-17 21:49:34 -0400|
|10750 Queens Blvd|Forest Hills|NY|11375|Queens|Queens Blvd &71St Ave，恒通银行门口||Newspaper box|||1|||50|50|50|50|50|50|0|40.719017|-73.83906549999999|2014-08-17 21:49:34 -0400|
|10701 71st Ave|Forest Hills|NY|11375|Queens|Continential Ave & AuStin St，眼镜店边||Newspaper box|||1|||65|65|65|65|70|50|0|40.7204539|-73.844905|2014-08-17 21:49:40 -0400|
|10801 Queens Blvd|Forest Hills|NY|11375|Queens|Queens Blvd & 71St Ave ，Sterling National Bank银行门口||Newspaper box|||1|||0|0|0|0|0|0|0|40.7190157|-73.8390627|2014-08-17 21:49:40 -0400|
|10721 Queens Blvd|Forest Hills|NY|11375|Queens|Queens Blvd （North）& 70th Rd||Newspaper box|||1|||75|75|75|75|70|15|0|40.7190178|-73.8390672|2014-08-17 21:49:40 -0400|
|16801 Union Turnpike|Fresh Meadows|NY|11366|Queens|Union TurnPike & 168th St ， 7-Eleven店门口||Newspaper box|||1|||25|25|25|25|25|20|0|40.723336|-73.799877|2014-08-17 21:49:41 -0400|
|68 26 Fresh Meadows Lane|Fresh Meadows|NY|11365|Queens|Fresh Meadows Ln  & 69th Ave，Fulong Deli店门口||Newspaper box|||1|||35|35|35|35|35|30|0|40.7335179|-73.7801447|2014-08-17 21:49:41 -0400|
|195-15 69th Ave|Fresh Meadows|NY|11365|Queens|金旺发超市旁边的洗衣店||Laundries|2014/07/19开始放报|||||10|10|10|10|10|15|0|40.7372725|-73.77797509999999|2014-08-17 21:49:41 -0400|
|6012 Kissena Blvd|Flushing|NY|11367|Queens|Dunkin Donuts咖啡店旁||Newspaper box|修補過的報箱||1|||40|40|40|40|40|25|0|40.73977300000001|-73.8151452|2014-08-17 21:49:41 -0400|
|5911 Main St|Flushing|NY|11355|Queens|新中美超市||Newspaper box||1||||50|50|50|50|80|75|0|40.7437671|-73.8256409|2014-08-17 21:49:42 -0400|
